lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2
-0.74,134.89,22,4.5,Irian Jaya Region - Indonesia,,,,,,
-0.67,132.17,56,4.9,Irian Jaya Region - Indonesia,,,,,,
-4.26,134.42,10,4.3,Irian Jaya Region - Indonesia,,,,,,
-3.51,131.50,44,4.0,Irian Jaya Region - Indonesia,,,,,,
-0.42,132.23,10,4.2,Irian Jaya Region - Indonesia,,,,,,
-3.33,135.53,79,4.4,Irian Jaya Region - Indonesia,,,,,,
-3.87,132.98,17,4.4,Irian Jaya Region - Indonesia,,,,,,
-0.48,132.88,62,4.6,Irian Jaya Region - Indonesia,,,,,,
-0.36,131.35,28,4.0,Irian Jaya Region - Indonesia,,,,,,
-4.87,133.85,110,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.75,132.81,10,4.5,Irian Jaya Region - Indonesia,,,,,,
-0.92,136.57,181,4.4,Irian Jaya Region - Indonesia,,,,,,
-0.51,132.75,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.41,132.71,44,5.3,Irian Jaya Region - Indonesia,,,,,,
-0.78,132.99,26,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.83,133.23,47,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.46,133.02,21,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.63,133.00,30,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.74,133.15,59,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.54,132.72,88,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.78,131.79,10,3.7,Irian Jaya Region - Indonesia,,,,,,
-0.67,133.40,102,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.39,132.97,9,4.6,Irian Jaya Region - Indonesia,,,,,,
-0.90,132.77,10,3.7,Irian Jaya Region - Indonesia,,,,,,
-0.58,132.93,33,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.69,132.85,28,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.68,133.32,51,5.1,Irian Jaya Region - Indonesia,,,,,,
-1.65,132.47,81,4.2,Irian Jaya Region - Indonesia,,,,,,
-3.80,132.82,10,3.8,Irian Jaya Region - Indonesia,,,,,,
-0.75,133.16,12,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.90,131.43,10,3.8,Irian Jaya Region - Indonesia,,,,,,
-0.71,131.49,10,4.6,Irian Jaya Region - Indonesia,,,,,,
-0.75,133.19,10,4.4,Irian Jaya Region - Indonesia,,,,,,
-0.87,133.19,54,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.61,133.23,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.62,132.08,5,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.70,132.15,5,4.8,Irian Jaya Region - Indonesia,,,,,,
